USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
andrey    1413  0.0  0.2  43488  5664 ?        Sl   23:16   0:00         /usr/lib/at-spi2-core/at-spi-bus-launcher
andrey    1429  0.0  0.1   6064  3828 ?        S    23:16   0:00           /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
andrey    1419  0.0  0.2  50688  4996 ?        Sl   23:16   0:00         /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
andrey    1430  0.0  1.0  63796 20204 ?        Sl   23:16   0:00         /usr/lib/ibus/ibus-x11 --kill-daemon
andrey    1438  0.0  0.2  29176  4820 ?        Sl   23:16   0:00         /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
andrey    1469  0.0  0.2  25392  4684 ?        Sl   23:16   0:00         /usr/lib/dconf/dconf-service
andrey    1486  0.1  1.6 128156 32252 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/hud/hud-service
andrey    1488  0.1  1.3 249992 27668 ?        Ssl  23:17   0:01         /usr/lib/unity-settings-daemon/unity-settings-daemon
andrey    1495  0.0  0.6  76096 13760 ?        Ssl  23:17   0:00         /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
andrey    1680  0.3  3.2 154960 64216 ?        SLl  23:17   0:02           /usr/bin/gnome-software --gapplication-service
andrey    1682  0.6  2.2 192840 44412 ?        Sl   23:17   0:04           nautilus -n
andrey    1684  0.0  1.4 119196 29836 ?        Sl   23:17   0:00           nm-applet
andrey    1686  0.0  0.9  63328 18012 ?        Sl   23:17   0:00           /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
andrey    1706  0.0  0.9  79720 19104 ?        Sl   23:18   0:00           /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
andrey    1864  0.0  0.7  79116 14144 ?        Sl   23:18   0:00           zeitgeist-datahub
andrey    1945  0.0  1.1  73932 23672 ?        Sl   23:18   0:00           update-notifier
andrey    1974  0.0  0.3  64604  6668 ?        Sl   23:20   0:00           /usr/lib/i386-linux-gnu/deja-dup/deja-dup-monitor
andrey    1512  0.1  1.4 113044 28088 ?        Ssl  23:17   0:01         /usr/lib/i386-linux-gnu/unity/unity-panel-service
andrey    1548  0.0  0.3  47880  6888 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
